mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time,total_load
multi_agent_1,21111420_21111423,561.33,9.36,398.78,6.65,147.59,2.46,0.71,0.26,122185.0
multi_agent_1,21111420_21111502,982.97,16.38,700.12,11.67,255.12,4.25,0.71,0.26,171872.0
multi_agent_1,21111420_21111508,2949.49,49.16,2378.16,39.64,529.17,8.82,0.81,0.18,341109.0
multi_agent_2,21062308_21062309,310.26,5.17,103.73,1.73,185.99,3.1,0.33,0.6,29858.0
multi_agent_2,21062308_21062311,657.07,10.95,349.73,5.83,277.52,4.63,0.53,0.42,88912.0
multi_agent_2,21062308_21062314,1361.83,22.7,814.58,13.58,500.26,8.34,0.6,0.37,166528.0
multi_agent_2,21062308_21062320,2973.86,49.56,1888.84,31.48,1001.64,16.69,0.64,0.34,377356.0
multi_agent_2,21062320_21062321,237.98,3.97,141.91,2.37,86.34,1.44,0.6,0.36,39885.0
multi_agent_2,21062320_21062323,666.48,11.11,411.12,6.85,232.34,3.87,0.62,0.35,103374.0
multi_agent_2,21062320_21062402,1202.11,20.04,760.36,12.67,405.95,6.77,0.63,0.34,153045.0
multi_agent_2,21062320_21062408,3410.31,56.84,2667.86,44.46,692.44,11.54,0.78,0.2,263826.0
multi_agent_2,21062508_21062509,286.62,4.78,104.37,1.74,163.46,2.72,0.36,0.57,30324.0
multi_agent_2,21062508_21062511,644.66,10.74,340.91,5.68,273.49,4.56,0.53,0.42,95566.0
multi_agent_2,21062508_21062514,1271.76,21.2,763.86,12.73,461.64,7.69,0.6,0.36,182596.0
multi_agent_2,21062508_21062520,3144.34,52.41,2008.92,33.48,1047.95,17.47,0.64,0.33,419581.0
multi_agent_2,21062520_21062521,287.29,4.79,162.79,2.71,111.69,1.86,0.57,0.39,44142.0
multi_agent_2,21062520_21062523,846.52,14.11,494.81,8.25,319.25,5.32,0.58,0.38,120758.0
multi_agent_2,21062520_21062602,1805.3,30.09,1107.24,18.45,642.08,10.7,0.61,0.36,214528.0
multi_agent_2,21062520_21062608,3271.64,54.53,2226.12,37.1,978.24,16.3,0.68,0.3,328247.0
multi_agent_2,21062708_21062709,226.09,3.77,110.9,1.85,102.81,1.71,0.49,0.45,39780.0
multi_agent_2,21062708_21062711,684.28,11.4,406.66,6.78,249.39,4.16,0.59,0.36,137225.0
multi_agent_2,21062708_21062714,1463.46,24.39,1010.0,16.83,411.83,6.86,0.69,0.28,304504.0
multi_agent_2,21062708_21062720,3377.48,56.29,2360.65,39.34,939.5,15.66,0.7,0.28,618318.0
multi_agent_2,21062720_21062721,188.25,3.14,124.28,2.07,57.39,0.96,0.66,0.3,39663.0
