mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,difference_pickup,difference_dropoff
social_groups_2,21062708_21062714,256515,37323,37366,230013,34098,34099,10.33,8.64,8.74,3207,0.05,0.16,18,60
social_groups_2,21062708_21062720,487505,90065,90123,437038,84627,84647,10.35,6.04,6.08,5401,0.04,0.08,37,75
social_groups_2,21062720_21062721,31320,7631,7624,24437,6371,6371,21.98,16.51,16.43,1260,0.0,0.09,0,-7
social_groups_2,21062720_21062723,82554,20676,20671,62014,18569,18573,24.88,10.19,10.15,2103,0.02,0.02,4,-5
social_groups_2,21062720_21062802,122837,27909,27912,80710,24786,24788,34.3,11.19,11.19,3121,0.01,0.01,2,3
social_groups_2,21062720_21062808,274218,41386,41344,211950,35108,35114,22.71,15.17,15.07,6270,0.02,0.1,8,-40
social_groups_2,21100608_21100609,60583,9660,9662,53872,6925,6926,11.08,28.31,28.32,2732,0.03,0.04,3,4
social_groups_2,21100608_21100611,184538,25666,25701,169215,21338,21341,8.3,16.86,16.96,4254,0.29,0.41,74,106
social_groups_2,21100608_21100614,366281,45475,45522,341548,40441,40452,6.75,11.07,11.14,5014,0.04,0.12,20,56
social_groups_2,21100608_21100620,701441,109363,109427,666870,100466,100489,4.93,8.14,8.17,8646,0.23,0.27,251,292
social_groups_2,21100620_21100621,43360,12084,12094,36846,9437,9439,15.02,21.9,21.95,2645,0.02,0.08,2,10
social_groups_2,21100620_21100623,111345,33562,33594,97392,29329,29336,12.53,12.61,12.67,4223,0.03,0.1,10,35
social_groups_2,21100620_21100702,175555,49972,50046,144332,44084,44093,17.79,11.78,11.9,5879,0.02,0.15,9,74
social_groups_2,21100620_21100708,357374,67114,67218,299124,58180,58190,16.3,13.31,13.43,8915,0.03,0.17,19,113
social_groups_2,21100808_21100809,59222,9714,9695,52239,6854,6855,11.79,29.44,29.29,2854,0.06,0.14,6,-14
social_groups_2,21100808_21100811,185427,27096,27078,168094,22981,22989,9.35,15.19,15.1,4065,0.18,0.09,50,24
social_groups_2,21100808_21100814,367193,48296,48277,333958,42908,42926,9.05,11.16,11.08,5299,0.18,0.11,89,52
social_groups_2,21100808_21100820,721009,119378,119359,676125,106883,106908,6.23,10.47,10.43,12394,0.08,0.05,101,57
social_groups_2,21100820_21100821,45979,15829,15835,39304,12036,12037,14.52,23.96,23.98,3791,0.01,0.04,2,7
social_groups_2,21100820_21100823,129778,45341,45322,111888,40203,40209,13.79,11.33,11.28,5128,0.02,0.03,10,-15
social_groups_2,21100820_21100902,192505,84455,84454,159002,76125,76140,17.4,9.86,9.84,8306,0.03,0.01,24,8
social_groups_2,21100820_21100908,321579,99868,99848,263777,89056,89072,17.97,10.83,10.79,10775,0.04,0.0,37,1
social_groups_2,21101008_21101009,40097,3423,3429,34139,2437,2437,14.86,28.81,28.93,986,0.0,0.17,0,6
social_groups_2,21101008_21101011,128141,14758,14786,114967,12447,12447,10.28,15.66,15.82,2311,0.0,0.19,0,28
social_groups_2,21101008_21101014,261957,37323,37366,239110,34132,34138,8.72,8.55,8.64,3182,0.02,0.12,9,46
social_groups_2,21101008_21101020,525699,90065,90123,487375,84559,84583,7.29,6.11,6.15,5475,0.03,0.07,31,65
social_groups_2,21101020_21101021,36216,7631,7624,30381,6077,6079,16.11,20.36,20.26,1551,0.04,0.08,3,-6
social_groups_2,21101020_21101023,97323,20676,20671,81439,18469,18473,16.32,10.67,10.63,2200,0.03,0.01,7,-2
social_groups_2,21101020_21101102,145559,27909,27912,112765,24660,24666,22.53,11.64,11.63,3240,0.03,0.02,9,6
social_groups_2,21101020_21101108,314998,41386,41344,259704,35376,35381,17.55,14.52,14.42,6000,0.02,0.09,10,-37
social_groups_2,21111008_21111009,55824,9660,9662,48493,7011,7012,13.13,27.42,27.43,2645,0.04,0.05,4,5
social_groups_2,21111008_21111011,173277,25666,25701,156857,21666,21669,9.48,15.58,15.69,3996,0.02,0.14,4,36
social_groups_2,21111008_21111014,348953,45475,45522,321597,40461,40469,7.84,11.03,11.1,4972,0.09,0.18,42,81
social_groups_2,21111008_21111020,697008,109363,109427,654032,100399,100417,6.17,8.2,8.23,8896,0.06,0.1,68,114
social_groups_2,21111020_21111021,44113,12084,12094,37056,9531,9531,16.0,21.13,21.19,2553,0.0,0.08,0,10
social_groups_2,21111020_21111023,125439,33562,33594,109313,29590,29593,12.86,11.83,11.91,3967,0.01,0.1,5,34
social_groups_2,21111020_21111102,195418,49972,50046,160977,44317,44327,17.62,11.32,11.43,5645,0.02,0.15,10,74
social_groups_2,21111020_21111108,195418,67114,67218,165363,58152,58167,15.38,13.35,13.47,8945,0.03,0.16,17,106
social_groups_2,21111208_21111209,58636,9714,9695,51844,6863,6867,11.58,29.35,29.17,2844,0.07,0.17,7,-16
social_groups_2,21111208_21111211,177567,27096,27078,159871,22948,22960,9.97,15.31,15.21,4076,0.27,0.16,72,42
social_groups_2,21111208_21111214,348247,48296,48277,319284,42997,43003,8.32,10.97,10.92,5245,0.11,0.06,54,29
social_groups_2,21111208_21111220,694910,119378,119359,646649,108128,108160,6.94,9.42,9.38,11068,0.15,0.11,182,131
social_groups_2,21111220_21111221,43356,15829,15835,35620,12226,12229,17.84,22.76,22.77,3598,0.03,0.05,5,8
social_groups_2,21111220_21111223,125335,45341,45322,106070,40169,40176,15.37,11.41,11.35,5145,0.06,0.0,27,1
social_groups_2,21111220_21111302,194548,84455,84454,153266,76735,76753,21.22,9.14,9.12,7680,0.05,0.02,40,21
social_groups_2,21111220_21111308,336102,99868,99848,260538,88943,88972,22.48,10.94,10.89,10867,0.06,0.01,58,9
social_groups_2,21111408_21111409,40950,3423,3429,33671,2426,2426,17.78,29.13,29.25,997,0.0,0.17,0,6
social_groups_2,21111408_21111411,133077,14758,14786,117919,12461,12462,11.39,15.56,15.72,2295,0.01,0.2,2,29
social_groups_2,21111408_21111414,270378,37323,37366,243488,33994,34001,9.95,8.92,9.01,3311,0.05,0.14,18,54
social_groups_2,21111408_21111420,540728,90065,90123,493519,84624,84646,8.73,6.04,6.08,5391,0.06,0.1,50,86
social_groups_2,21111420_21111421,37178,7631,7624,31062,6176,6177,16.45,19.07,18.98,1454,0.01,0.09,1,-7
social_groups_2,21111420_21111423,99040,20676,20671,82759,18438,18446,16.44,10.82,10.76,2229,0.04,0.02,9,-4
social_groups_2,21111420_21111502,152936,27909,27912,117829,24806,24809,22.96,11.12,11.12,3099,0.01,0.01,4,4
social_groups_2,21111420_21111508,324522,41386,41344,262976,35755,35759,18.97,13.61,13.51,5620,0.03,0.08,11,-35
sumo,21062308_21062309,12143,9660,9662,10575,9653,9657,12.91,0.07,0.05,0,0.07,0.05,7,5
sumo,21062308_21062311,41544,25666,25701,37488,25630,25637,9.76,0.14,0.25,0,0.14,0.25,36,64
sumo,21062320_21062321,20567,12084,12094,15965,12079,12084,22.38,0.04,0.08,0,0.04,0.08,5,10
sumo,21062508_21062509,12340,9714,9695,10962,9712,9714,11.17,0.02,0.2,0,0.02,0.2,2,-19
sumo,21062508_21062511,45495,27096,27078,41589,27076,27086,8.59,0.07,0.03,0,0.07,0.03,20,-8
sumo,21062520_21062521,14716,15829,15835,12533,15822,15829,14.83,0.04,0.04,0,0.04,0.04,7,6
sumo,21062708_21062709,37607,3423,3429,33132,3423,3423,11.9,0.0,0.17,0,0.0,0.17,0,6
sumo,21062708_21062711,121361,14758,14786,108153,14751,14753,10.88,0.05,0.22,0,0.05,0.22,7,33
sumo,21062708_21062714,256515,37323,37366,229576,37300,37308,10.5,0.06,0.16,0,0.06,0.16,23,58
sumo,21062720_21062721,31320,7631,7624,24396,7628,7629,22.11,0.04,0.07,0,0.04,0.07,3,-5
sumo,21062720_21062723,82554,20676,20671,61738,20670,20676,25.22,0.03,0.02,0,0.03,0.02,6,-5
sumo,21100608_21100609,60583,9660,9662,53784,9655,9656,11.22,0.05,0.06,0,0.05,0.06,5,6
